"city","year","weekofyear","total_cases"
"sj",2008,18,10
"sj",2008,19,8
"sj",2008,20,18
"sj",2008,21,28
"sj",2008,22,18
"sj",2008,23,20
"sj",2008,24,13
"sj",2008,25,23
"sj",2008,26,18
"sj",2008,27,21
"sj",2008,28,24
"sj",2008,29,40
"sj",2008,30,26
"sj",2008,31,31
"sj",2008,32,50
"sj",2008,33,55
"sj",2008,34,43
"sj",2008,35,49
"sj",2008,36,123
"sj",2008,37,67
"sj",2008,38,57
"sj",2008,39,61
"sj",2008,40,73
"sj",2008,41,60
"sj",2008,42,47
"sj",2008,43,50
"sj",2008,44,63
"sj",2008,45,41
"sj",2008,46,39
"sj",2008,47,46
"sj",2008,48,45
"sj",2008,49,33
"sj",2008,50,40
"sj",2008,51,44
"sj",2008,52,21
"sj",2009,1,49
"sj",2009,2,23
"sj",2009,3,32
"sj",2009,4,24
"sj",2009,5,33
"sj",2009,6,17
"sj",2009,7,20
"sj",2009,8,18
"sj",2009,9,20
"sj",2009,10,15
"sj",2009,11,11
"sj",2009,12,14
"sj",2009,13,12
"sj",2009,14,11
"sj",2009,15,10
"sj",2009,16,8
"sj",2009,17,11
"sj",2009,18,13
"sj",2009,19,9
"sj",2009,20,18
"sj",2009,21,15
"sj",2009,22,19
"sj",2009,23,13
"sj",2009,24,16
"sj",2009,25,18
"sj",2009,26,25
"sj",2009,27,36
"sj",2009,28,28
"sj",2009,29,37
"sj",2009,30,38
"sj",2009,31,41
"sj",2009,32,54
"sj",2009,33,30
"sj",2009,34,48
"sj",2009,35,79
"sj",2009,36,101
"sj",2009,37,47
"sj",2009,38,54
"sj",2009,39,43
"sj",2009,40,77
"sj",2009,41,82
"sj",2009,42,75
"sj",2009,43,37
"sj",2009,44,94
"sj",2009,45,69
"sj",2009,46,36
"sj",2009,47,58
"sj",2009,48,32
"sj",2009,49,63
"sj",2009,50,25
"sj",2009,51,35
"sj",2009,52,41
"sj",2010,53,33
"sj",2010,1,42
"sj",2010,2,31
"sj",2010,3,49
"sj",2010,4,29
"sj",2010,5,28
"sj",2010,6,27
"sj",2010,7,25
"sj",2010,8,19
"sj",2010,9,29
"sj",2010,10,20
"sj",2010,11,19
"sj",2010,12,26
"sj",2010,13,23
"sj",2010,14,15
"sj",2010,15,11
"sj",2010,16,14
"sj",2010,17,17
"sj",2010,18,22
"sj",2010,19,13
"sj",2010,20,22
"sj",2010,21,17
"sj",2010,22,76
"sj",2010,23,35
"sj",2010,24,40
"sj",2010,25,42
"sj",2010,26,45
"sj",2010,27,60
"sj",2010,28,62
"sj",2010,29,52
"sj",2010,30,51
"sj",2010,31,49
"sj",2010,32,91
"sj",2010,33,61
"sj",2010,34,89
"sj",2010,35,109
"sj",2010,36,99
"sj",2010,37,78
"sj",2010,38,51
"sj",2010,39,45
"sj",2010,40,55
"sj",2010,41,90
"sj",2010,42,48
"sj",2010,43,80
"sj",2010,44,45
"sj",2010,45,52
"sj",2010,46,35
"sj",2010,47,48
"sj",2010,48,37
"sj",2010,49,35
"sj",2010,50,34
"sj",2010,51,23
"sj",2011,52,27
"sj",2011,1,35
"sj",2011,2,41
"sj",2011,3,33
"sj",2011,4,26
"sj",2011,5,23
"sj",2011,6,17
"sj",2011,7,18
"sj",2011,8,21
"sj",2011,9,20
"sj",2011,10,14
"sj",2011,11,12
"sj",2011,12,11
"sj",2011,13,20
"sj",2011,14,15
"sj",2011,15,11
"sj",2011,16,16
"sj",2011,17,9
"sj",2011,18,15
"sj",2011,19,11
"sj",2011,20,20
"sj",2011,21,21
"sj",2011,22,25
"sj",2011,23,23
"sj",2011,24,77
"sj",2011,25,55
"sj",2011,26,48
"sj",2011,27,48
