"city","year","weekofyear","total_cases"
"sj",2008,18,5
"sj",2008,19,7
"sj",2008,20,11
"sj",2008,21,25
"sj",2008,22,12
"sj",2008,23,12
"sj",2008,24,10
"sj",2008,25,23
"sj",2008,26,17
"sj",2008,27,20
"sj",2008,28,19
"sj",2008,29,26
"sj",2008,30,25
"sj",2008,31,28
"sj",2008,32,49
"sj",2008,33,61
"sj",2008,34,46
"sj",2008,35,61
"sj",2008,36,103
"sj",2008,37,79
"sj",2008,38,67
"sj",2008,39,60
"sj",2008,40,72
"sj",2008,41,53
"sj",2008,42,53
"sj",2008,43,34
"sj",2008,44,30
"sj",2008,45,43
"sj",2008,46,42
"sj",2008,47,34
"sj",2008,48,27
"sj",2008,49,19
"sj",2008,50,21
"sj",2008,51,28
"sj",2008,52,16
"sj",2009,1,24
"sj",2009,2,15
"sj",2009,3,18
"sj",2009,4,14
"sj",2009,5,19
"sj",2009,6,11
"sj",2009,7,11
"sj",2009,8,8
"sj",2009,9,8
"sj",2009,10,6
"sj",2009,11,8
"sj",2009,12,7
"sj",2009,13,4
"sj",2009,14,6
"sj",2009,15,5
"sj",2009,16,6
"sj",2009,17,9
"sj",2009,18,7
"sj",2009,19,5
"sj",2009,20,9
"sj",2009,21,11
"sj",2009,22,15
"sj",2009,23,9
"sj",2009,24,11
"sj",2009,25,13
"sj",2009,26,16
"sj",2009,27,23
"sj",2009,28,28
"sj",2009,29,29
"sj",2009,30,34
"sj",2009,31,39
"sj",2009,32,47
"sj",2009,33,43
"sj",2009,34,49
"sj",2009,35,72
"sj",2009,36,87
"sj",2009,37,50
"sj",2009,38,59
"sj",2009,39,51
"sj",2009,40,75
"sj",2009,41,76
"sj",2009,42,75
"sj",2009,43,58
"sj",2009,44,58
"sj",2009,45,48
"sj",2009,46,29
"sj",2009,47,55
"sj",2009,48,42
"sj",2009,49,32
"sj",2009,50,21
"sj",2009,51,28
"sj",2009,52,25
"sj",2010,53,24
"sj",2010,1,23
"sj",2010,2,18
"sj",2010,3,27
"sj",2010,4,21
"sj",2010,5,13
"sj",2010,6,15
"sj",2010,7,16
"sj",2010,8,13
"sj",2010,9,15
"sj",2010,10,11
"sj",2010,11,9
"sj",2010,12,17
"sj",2010,13,12
"sj",2010,14,9
"sj",2010,15,7
"sj",2010,16,8
"sj",2010,17,15
"sj",2010,18,20
"sj",2010,19,9
"sj",2010,20,18
"sj",2010,21,15
"sj",2010,22,48
"sj",2010,23,40
"sj",2010,24,41
"sj",2010,25,36
"sj",2010,26,35
"sj",2010,27,47
"sj",2010,28,48
"sj",2010,29,39
"sj",2010,30,44
"sj",2010,31,50
"sj",2010,32,77
"sj",2010,33,68
"sj",2010,34,85
"sj",2010,35,107
"sj",2010,36,98
"sj",2010,37,78
"sj",2010,38,64
"sj",2010,39,57
"sj",2010,40,56
"sj",2010,41,85
"sj",2010,42,60
"sj",2010,43,64
"sj",2010,44,37
"sj",2010,45,45
"sj",2010,46,24
"sj",2010,47,23
"sj",2010,48,20
"sj",2010,49,31
"sj",2010,50,24
"sj",2010,51,19
"sj",2011,52,18
"sj",2011,1,16
"sj",2011,2,20
"sj",2011,3,19
"sj",2011,4,17
"sj",2011,5,13
"sj",2011,6,12
"sj",2011,7,12
"sj",2011,8,11
"sj",2011,9,10
"sj",2011,10,6
"sj",2011,11,7
"sj",2011,12,5
"sj",2011,13,8
"sj",2011,14,9
"sj",2011,15,8
"sj",2011,16,7
"sj",2011,17,6
"sj",2011,18,11
"sj",2011,19,8
"sj",2011,20,12
"sj",2011,21,15
"sj",2011,22,21
"sj",2011,23,19
"sj",2011,24,53
"sj",2011,25,46
"sj",2011,26,44
"sj",2011,27,39
"sj",2011,28,44
"sj",2011,29,25
"sj",2011,30,49
"sj",2011,31,40
"sj",2011,32,79
"sj",2011,33,50
"sj",2011,34,99
"sj",2011,35,55
"sj",2011,36,54
"sj",2011,37,54
"sj",2011,38,49
"sj",2011,39,48
"sj",2011,40,67
"sj",2011,41,55
"sj",2011,42,41
"sj",2011,43,26
"sj",2011,44,46
"sj",2011,45,38
"sj",2011,46,32
"sj",2011,47,32
"sj",2011,48,32
"sj",2011,49,27
"sj",2011,50,34
"sj",2011,51,16
"sj",2012,52,23
"sj",2012,1,19
"sj",2012,2,15
"sj",2012,3,15
"sj",2012,4,13
"sj",2012,5,12
"sj",2012,6,11
"sj",2012,7,11
"sj",2012,8,10
"sj",2012,9,9
"sj",2012,10,6
"sj",2012,11,5
"sj",2012,12,6
"sj",2012,13,9
"sj",2012,14,8
"sj",2012,15,6
"sj",2012,16,9
"sj",2012,17,7
"sj",2012,18,11
"sj",2012,19,11
"sj",2012,20,16
"sj",2012,21,11
"sj",2012,22,9
"sj",2012,23,22
"sj",2012,24,30
"sj",2012,25,48
"sj",2012,26,40
"sj",2012,27,21
"sj",2012,28,19
"sj",2012,29,31
"sj",2012,30,43
"sj",2012,31,36
"sj",2012,32,46
"sj",2012,33,55
"sj",2012,34,50
"sj",2012,35,43
"sj",2012,36,58
"sj",2012,37,78
"sj",2012,38,78
"sj",2012,39,76
"sj",2012,40,63
"sj",2012,41,51
"sj",2012,42,60
"sj",2012,43,55
"sj",2012,44,71
"sj",2012,45,51
"sj",2012,46,44
"sj",2012,47,43
"sj",2012,48,26
"sj",2012,49,25
"sj",2012,50,25
"sj",2012,51,16
"sj",2013,1,20
"sj",2013,2,16
"sj",2013,3,15
"sj",2013,4,12
"sj",2013,5,14
"sj",2013,6,11
"sj",2013,7,10
"sj",2013,8,10
"sj",2013,9,9
"sj",2013,10,9
"sj",2013,11,7
"sj",2013,12,6
"sj",2013,13,9
"sj",2013,14,9
"sj",2013,15,10
"sj",2013,16,9
"sj",2013,17,6
"iq",2010,26,6
"iq",2010,27,4
"iq",2010,28,8
"iq",2010,29,3
"iq",2010,30,4
"iq",2010,31,6
"iq",2010,32,4
"iq",2010,33,5
"iq",2010,34,6
"iq",2010,35,9
"iq",2010,36,5
"iq",2010,37,6
"iq",2010,38,13
"iq",2010,39,10
"iq",2010,40,16
"iq",2010,41,10
"iq",2010,42,19
"iq",2010,43,8
"iq",2010,44,10
"iq",2010,45,14
"iq",2010,46,12
"iq",2010,47,11
"iq",2010,48,12
"iq",2010,49,9
"iq",2010,50,19
"iq",2010,51,13
"iq",2011,52,8
"iq",2011,1,20
"iq",2011,2,13
"iq",2011,3,12
"iq",2011,4,14
"iq",2011,5,14
"iq",2011,6,14
"iq",2011,7,14
"iq",2011,8,12
"iq",2011,9,13
"iq",2011,10,10
"iq",2011,11,11
"iq",2011,12,8
"iq",2011,13,9
"iq",2011,14,8
"iq",2011,15,7
"iq",2011,16,8
"iq",2011,17,7
"iq",2011,18,8
"iq",2011,19,4
"iq",2011,20,4
"iq",2011,21,6
"iq",2011,22,3
"iq",2011,23,4
"iq",2011,24,6
"iq",2011,25,3
"iq",2011,26,4
"iq",2011,27,3
"iq",2011,28,3
"iq",2011,29,4
"iq",2011,30,3
"iq",2011,31,4
"iq",2011,32,6
"iq",2011,33,3
"iq",2011,34,4
"iq",2011,35,4
"iq",2011,36,4
"iq",2011,37,7
"iq",2011,38,7
"iq",2011,39,7
"iq",2011,40,5
"iq",2011,41,7
"iq",2011,42,10
"iq",2011,43,15
"iq",2011,44,11
"iq",2011,45,15
"iq",2011,46,13
"iq",2011,47,10
"iq",2011,48,10
"iq",2011,49,12
"iq",2011,50,19
"iq",2011,51,16
"iq",2012,52,9
"iq",2012,1,12
"iq",2012,2,11
"iq",2012,3,12
"iq",2012,4,12
"iq",2012,5,12
"iq",2012,6,14
"iq",2012,7,13
"iq",2012,8,15
"iq",2012,9,10
"iq",2012,10,9
"iq",2012,11,4
"iq",2012,12,6
"iq",2012,13,9
"iq",2012,14,4
"iq",2012,15,8
"iq",2012,16,8
"iq",2012,17,10
"iq",2012,18,7
"iq",2012,19,3
"iq",2012,20,8
"iq",2012,21,4
"iq",2012,22,5
"iq",2012,23,4
"iq",2012,24,5
"iq",2012,25,4
"iq",2012,26,6
"iq",2012,27,3
"iq",2012,28,5
"iq",2012,29,7
"iq",2012,30,4
"iq",2012,31,2
"iq",2012,32,5
"iq",2012,33,5
"iq",2012,34,7
"iq",2012,35,5
"iq",2012,36,3
"iq",2012,37,5
"iq",2012,38,5
"iq",2012,39,11
"iq",2012,40,8
"iq",2012,41,11
"iq",2012,42,10
"iq",2012,43,11
"iq",2012,44,12
"iq",2012,45,14
"iq",2012,46,13
"iq",2012,47,19
"iq",2012,48,10
"iq",2012,49,17
"iq",2012,50,11
"iq",2012,51,9
"iq",2013,1,14
"iq",2013,2,18
"iq",2013,3,15
"iq",2013,4,13
"iq",2013,5,17
"iq",2013,6,13
"iq",2013,7,13
"iq",2013,8,13
"iq",2013,9,12
"iq",2013,10,11
"iq",2013,11,10
"iq",2013,12,12
"iq",2013,13,9
"iq",2013,14,10
"iq",2013,15,7
"iq",2013,16,8
"iq",2013,17,8
"iq",2013,18,5
"iq",2013,19,7
"iq",2013,20,8
"iq",2013,21,4
"iq",2013,22,6
"iq",2013,23,3
"iq",2013,24,3
"iq",2013,25,4
"iq",2013,26,5
